Product_Name, Price, Rating 
Samsung Galaxy A51 (Prism Crush Blue | 128 GB),₹27999,NULL
Samsung Galaxy M01 (Black | 32 GB),₹8999,NULL
Samsung Galaxy A51 (Prism Crush Black | 128 GB),₹27999,NULL
Samsung Galaxy M01 (Blue | 32 GB),₹8999,NULL
Samsung Galaxy M01 (Red | 32 GB),₹8999,NULL
Samsung Galaxy A51 (Prism Crush White | 128 GB),₹27999,NULL
Samsung Galaxy M11 (Black | 64 GB),₹12999,NULL
Samsung Galaxy M11 (Metallic Blue | 32 GB),₹10999,NULL
Samsung Galaxy M11 (Black | 32 GB),₹10999,NULL
Samsung Galaxy J2 Core (Black | 16 GB),₹7500,4.2
Samsung Galaxy S10 Lite (Prism Black | 512 GB),₹47999,4.5
Samsung Galaxy S10 Lite (Prism Blue | 512 GB),₹47999,4.5
Samsung Galaxy S10 Lite (Prism White | 512 GB),₹47999,4.5
Samsung Galaxy A71 (Prism Crush Blue | 128 GB),₹32999,4.5
Samsung Galaxy A71 (Prism Crush Silver | 128 GB),₹34990,4.5
Samsung Galaxy A71 (Prism Crush Black | 128 GB),₹32999,4.5
Samsung Galaxy S20 Ultra (Cosmic Gray | 128 GB),₹97999,4
Samsung Galaxy S20+ (Cosmic Gray | 128 GB),₹77999,4.7
Samsung Galaxy S20 (Cosmic Gray | 128 GB),₹70499,4.2
Samsung Galaxy S20+ (Cosmic Black | 128 GB),₹79999,4.7
Samsung Galaxy S20 (Cloud Pink | 128 GB),₹70499,4.2
Samsung Galaxy S20 (Cloud Blue | 128 GB),₹70499,4.2
Samsung Galaxy S20+ (Cloud Blue | 128 GB),₹77990,4.7
Samsung Galaxy A51 (Prism Crush Black | 128 GB),₹25250,4.3
